Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total,Order Status
1000,53,Male,No,Smartphone,SKU1004,2,Credit Card,5538.33,791.19,7,20-03-2024,Standard,"Accessory,Accessory,Accessory",40.21,Cancelled
1000,53,Male,No,Tablet,SKU1002,3,Paypal,741.09,247.03,3,20-04-2024,Overnight,Impulse Item,26.09,Completed
1002,41,Male,No,Laptop,SKU1005,3,Credit Card,1855.84,463.96,4,17-10-2023,Express,,0,Completed
1002,41,Male,Yes,Smartphone,SKU1004,2,Cash,3164.76,791.19,4,08-09-2024,Overnight,"Impulse Item,Impulse Item",60.16,Completed
1003,75,Male,Yes,Smartphone,SKU1001,5,Cash,41.5,20.75,2,21-05-2024,Express,Accessory,35.56,Completed
1004,41,Female,No,Smartphone,SKU1001,5,Credit Card,83,20.75,4,26-05-2024,Standard,"Impulse Item,Accessory",65.78,Completed
1005,25,Female,No,Smartwatch,SKU1003,3,Paypal,7603.47,844.83,9,30-01-2024,Overnight,,0,Completed
1005,25,Female,No,Laptop,SKU1005,3,Debit Card,4175.64,463.96,9,24-06-2024,Overnight,"Extended Warranty,Extended Warranty",75.33,Completed
1006,24,Male,No,Smartphone,SKU1004,2,Debit Card,5538.33,791.19,7,10-03-2023,Standard,Impulse Item,43.05,Cancelled
1006,24,Male,Yes,Laptop,SKU1005,3,Cash,4175.64,463.96,9,01-01-2024,Express,,0,Completed
1006,24,Male,Yes,Tablet,SKU1002,3,Paypal,2470.3,247.03,10,25-06-2024,Overnight,"Impulse Item,Accessory,Impulse Item",90.38,Completed
1007,35,Male,No,Smartphone,SKU1004,2,Credit Card,7120.71,791.19,9,11-07-2023,Overnight,"Accessory,Extended Warranty",55.48,Cancelled
1008,66,Female,No,Smartwatch,SKU1003,3,Cash,3379.32,844.83,4,25-09-2023,Express,"Extended Warranty,Impulse Item,Extended Warranty",65.85,Completed
1011,72,Male,No,Smartphone,SKU1004,2,Credit Card,7911.9,791.19,10,07-07-2024,Standard,"Accessory,Accessory,Accessory",70.17,Completed
1013,42,Female,No,Smartphone,SKU1004,2,Paypal,5538.33,791.19,7,18-03-2024,Overnight,"Accessory,Impulse Item,Accessory",57.81,Cancelled
1014,73,Female,No,Smartwatch,SKU1003,3,Credit Card,5068.98,844.83,6,01-02-2024,Standard,"Extended Warranty,Extended Warranty",69.31,Cancelled
1014,73,Female,Yes,Smartphone,SKU1004,2,Cash,4747.14,791.19,6,18-05-2024,Standard,Accessory,8.3,Completed
1015,22,Male,No,Smartphone,SKU1001,5,Paypal,83,20.75,4,09-02-2024,Standard,"Accessory,Accessory,Accessory",80,Completed
1016,61,Male,Yes,Smartphone,SKU1001,5,Paypal,103.75,20.75,5,07-07-2024,Overnight,,0,Completed
1018,34,Male,No,Smartphone,SKU1001,5,Paypal,124.5,20.75,6,23-07-2024,Express,"Impulse Item,Extended Warranty",70.39,Completed
1019,45,Male,No,Smartphone,SKU1001,5,Cash,83,20.75,4,14-03-2024,Express,,0,Cancelled
1019,45,Male,No,Tablet,SKU1002,3,Cash,988.12,247.03,4,20-04-2024,Express,"Impulse Item,Impulse Item",37.87,Completed
1019,45,Male,Yes,Smartwatch,SKU1003,3,Paypal,844.83,844.83,1,21-07-2024,Express,Accessory,49.17,Cancelled
1020,57,Female,No,Smartwatch,SKU1003,3,Debit Card,3379.32,844.83,4,12-02-2023,Express,"Impulse Item,Accessory,Extended Warranty",37.13,Cancelled
1021,71,Female,Yes,Smartwatch,SKU1003,3,Cash,844.83,844.83,1,20-03-2024,Overnight,"Accessory,Extended Warranty",49.54,Completed
1022,76,Female,No,Smartwatch,SKU1003,3,Paypal,6758.64,844.83,8,27-04-2024,Overnight,"Impulse Item,Accessory,Impulse Item",73.49,Cancelled
1024,49,Female,No,Smartphone,SKU1004,2,Cash,1582.38,791.19,2,07-10-2024,Overnight,"Extended Warranty,Impulse Item",51.93,Completed
1025,77,Male,No,Laptop,SKU1005,3,Debit Card,2783.76,463.96,6,29-01-2024,Overnight,,0,Completed
1025,77,Male,No,Smartphone,SKU1001,5,Cash,83,20.75,4,28-08-2024,Express,"Extended Warranty,Extended Warranty",77.78,Completed
1027,22,Male,No,Smartphone,SKU1004,2,Paypal,4747.14,791.19,6,28-11-2023,Overnight,,0,Completed
1028,79,Female,No,Smartwatch,SKU1003,3,Debit Card,6758.64,844.83,8,30-11-2023,Overnight,,0,Completed
1030,69,Male,No,Smartwatch,SKU1003,3,Debit Card,4224.15,844.83,5,27-02-2024,Express,"Accessory,Impulse Item,Accessory",46.03,Completed
1031,20,Female,No,Smartwatch,SKU1003,3,Debit Card,5913.81,844.83,7,21-01-2024,Express,,0,Completed
1031,20,Female,No,Smartphone,SKU1001,5,Debit Card,103.75,20.75,5,09-03-2024,Overnight,"Accessory,Accessory",17.79,Completed
1033,54,Female,No,Tablet,SKU1002,3,Debit Card,988.12,247.03,4,30-11-2023,Overnight,,0,Completed
1033,54,Female,No,Smartphone,SKU1004,2,Debit Card,3164.76,791.19,4,01-12-2024,Standard,"Accessory,Accessory",49.24,Completed
1035,32,Female,No,Smartphone,SKU1001,5,Cash,186.75,20.75,9,24-09-2023,Standard,,0,Completed
1035,32,Female,Yes,Smartphone,SKU1001,5,Cash,62.25,20.75,3,25-03-2024,Standard,"Accessory,Accessory",33.56,Completed
1036,60,Male,Yes,Smartphone,SKU1004,2,Debit Card,3955.95,791.19,5,10-12-2023,Standard,"Extended Warranty,Impulse Item",56.62,Cancelled
1036,60,Male,Yes,Smartphone,SKU1004,2,Paypal,791.19,791.19,1,28-01-2024,Express,,0,Cancelled
1038,56,Female,No,Smartwatch,SKU1003,3,Paypal,4224.15,844.83,5,07-08-2024,Overnight,Extended Warranty,10,Completed
1038,56,Female,Yes,Smartwatch,SKU1003,3,Cash,5068.98,844.83,6,29-07-2024,Standard,,0,Completed
1038,56,Female,No,Smartphone,SKU1001,5,Debit Card,145.25,20.75,7,17-08-2024,Express,"Accessory,Extended Warranty",47.94,Completed
1038,56,Female,No,Smartphone,SKU1004,2,Debit Card,5538.33,791.19,7,23-09-2024,Overnight,"Extended Warranty,Accessory",26.01,Completed
1039,53,Female,No,Tablet,SKU1002,3,Credit Card,1729.21,247.03,7,31-08-2024,Standard,,0,Completed
1040,45,Female,Yes,Smartphone,SKU1004,2,Credit Card,6329.52,791.19,8,16-10-2023,Standard,"Accessory,Extended Warranty,Extended Warranty",92.79,Completed
1042,65,Female,No,Smartphone,SKU1001,5,Credit Card,145.25,20.75,7,26-06-2024,Overnight,"Impulse Item,Impulse Item",53.02,Cancelled
1042,65,Female,No,Smartwatch,SKU1003,3,Cash,5913.81,844.83,7,16-07-2024,Overnight,"Impulse Item,Accessory,Extended Warranty",111.25,Completed
1043,76,Male,No,Smartphone,SKU1001,5,Debit Card,207.5,20.75,10,03-05-2024,Overnight,,0,Completed
1047,73,Male,No,Tablet,SKU1002,3,Debit Card,2470.3,247.03,10,12-11-2023,Express,"Accessory,Impulse Item",63.23,Completed
1048,67,Female,No,Tablet,SKU1002,3,Debit Card,2470.3,247.03,10,28-10-2023,Express,,0,Cancelled
1049,50,Female,No,Smartphone,SKU1001,5,Paypal,145.25,20.75,7,25-06-2024,Standard,"Accessory,Impulse Item,Accessory",86.36,Completed
1052,72,Male,No,Smartwatch,SKU1003,3,Cash,5068.98,844.83,6,08-03-2024,Standard,Accessory,45.46,Cancelled
1053,79,Female,No,Laptop,SKU1005,3,Debit Card,4175.64,463.96,9,20-12-2023,Standard,"Impulse Item,Impulse Item,Accessory",88.3,Completed
1054,30,Female,Yes,Smartphone,SKU1001,5,Paypal,62.25,20.75,3,05-08-2024,Standard,"Impulse Item,Extended Warranty,Impulse Item",79.9,Completed
1056,24,Female,No,Laptop,SKU1005,3,Credit Card,1855.84,463.96,4,27-04-2024,Overnight,"Accessory,Extended Warranty",41.24,Completed
1057,71,Female,No,Smartwatch,SKU1003,3,Paypal,7603.47,844.83,9,22-10-2023,Express,,0,Cancelled
1057,71,Female,No,Tablet,SKU1002,3,Debit Card,1482.18,247.03,6,28-03-2024,Express,"Extended Warranty,Accessory,Impulse Item",116.77,Cancelled
1058,21,Female,No,Smartphone,SKU1001,5,Paypal,166,20.75,8,06-12-2024,Overnight,"Impulse Item,Accessory,Accessory",92.57,Completed
1058,21,Female,No,Smartphone,SKU1004,2,Credit Card,3955.95,791.19,5,07-08-2024,Express,,0,Cancelled
1059,37,Male,No,Laptop,SKU1005,3,Paypal,3247.72,463.96,7,22-02-2024,Overnight,"Extended Warranty,Extended Warranty",66.17,Completed
1059,37,Male,No,Laptop,SKU1005,3,Debit Card,463.96,463.96,1,27-06-2024,Express,Extended Warranty,5.52,Completed
